TrainingActivityId,TrainingTitle,TrainingType,IndividualFirstName,IndividualLastName,Email,CorpEmail,TrainingCompletionDate,Month,IcMCP,MCPID,MPNId,PartnerName,PartnerCityLocation,PartnerCountryLocation,ExpirationDate,ActivationStatus
3051,Azure Administrator Associate,Certification,Shanda,Fairbairn,shanda.fairbairn@outlook.com,sfairbairn@contoso.com,25/12/2018 23:07,Dec-18,1,7470319,1234567,Contoso Ltd,Reading,United Kingdom,25/12/2021 23:07,Active
3078,Azure Developer Associate,Certification,Alane,Livsey,alane.livsey@outlook.com,alivsey@contoso.com,10/02/2019 21:02,Feb-19,1,6409062,1234567,Contoso Ltd,Reading,United Kingdom,10/08/2021 21:02,Active
3086,Azure AI Engineer Associate,Certification,Martie,Batch,martie.batch@outlook.com,mbatch@contoso.com,10/04/2019 14:38,Apr-19,1,2458351,1234567,Contoso Ltd,Reading,United Kingdom,10/10/2021 14:38,Active
3085,Messaging Administrator Associate,Certification,,,hadlee.wigan@outlook.com,hwigan@contoso.com,15/08/2019 12:10,Aug-19,1,5496820,1234567,Contoso Ltd,Reading,United Kingdom,15/08/2021 12:10,Active
3080,Teamwork Administrator Associate,Certification,Lauraine,Fullun,lauraine.fullun@outlook.com,,02/09/2019 14:38,Sep-19,1,15974386,1234567,Contoso Ltd,Reading,United Kingdom,02/09/2021 14:38,Active
3091,Azure Security Engineer Associate,Certification,Dacie,Jonas,dacie.jonas@outlook.com,,12/10/2019 02:11,Oct-19,1,4944140,1234567,Contoso Ltd,Reading,United Kingdom,12/10/2021 02:11,Active
3079,Security Administrator Associate,Certification,Webb,Scheu,webb.scheu@outlook.com,,02/01/2020 02:41,Jan-20,1,11138691,1234567,Contoso Ltd,Reading,United Kingdom,02/01/2022 02:41,Active
3130,Teams Administrator Associate,Certification,Alicia,Idell,alicia.idell@outlook.com,aidell@contoso.com,03/07/2020 20:11,Jul-20,1,1760465,1234567,Contoso Ltd,Reading,United Kingdom,03/07/2022 20:11,Active
3088,Azure Data Engineer Associate,Certification,Glennis,Ahern,glennis.ahern@outlook.com,gahern@contoso.com,12/08/2020 03:00,Aug-20,1,10322669,1234567,Contoso Ltd,Reading,United Kingdom,12/08/2022 03:00,Active
3151,Power Platform App Maker Associate,Certification,,,shelden.mcilwrath@outlook.com,smcilwrath@contoso.com,30/08/2020 17:26,Aug-20,1,8382452,1234567,Contoso Ltd,Reading,United Kingdom,30/08/2022 17:26,Active
3087,Azure Data Scientist Associate,Certification,,,melisent.kleinert@outlook.com,mkleinert@contoso.com,07/10/2020 16:40,Oct-20,1,4055608,1234567,Contoso Ltd,Reading,United Kingdom,07/10/2022 16:40,Active
3142,Data Analyst Associate,Certification,,,hurleigh.brunini@outlook.com,hbrunini@contoso.com,21/10/2020 14:59,Oct-20,1,15922202,1234567,Contoso Ltd,Reading,United Kingdom,21/10/2022 14:59,Active
3143,Azure Database Administrator Associate,Certification,,,leticia.raphael@outlook.com,lraphael@contoso.com,24/10/2020 18:25,Oct-20,1,1803573,1234567,Contoso Ltd,Reading,United Kingdom,24/10/2022 18:25,Active
3077,Azure Solutions Architect Expert,Certification,Tremayne,Snarie,tremayne.snarie@outlook.com,tsnarie@contoso.com,24/03/2019 08:45,Mar-19,1,6608656,1234567,Contoso Ltd,Reading,United Kingdom,24/09/2021 08:45,Active
3082,Azure DevOps Engineer Expert,Certification,Oswald,Shewry,oswald.shewry@outlook.com,oshewry@contoso.com,26/01/2020 12:06,Jan-20,1,4914019,1234567,Contoso Ltd,Reading,United Kingdom,26/01/2022 12:06,Active
3081,Enterprise Administrator Expert,Certification,Clayborne,Bayle,clayborne.bayle@outlook.com,,26/06/2020 09:54,Jun-20,1,10845724,1234567,Contoso Ltd,Reading,United Kingdom,26/06/2022 09:54,Active
3051,Azure Administrator Associate,Certification,Evie,Hedau,evie.hedau@outlook.com,,16/12/2018 18:57,Dec-18,1,12318478,1234567,Contoso Ltd,Reading,United Kingdom,16/12/2021 18:57,Active
3078,Azure Developer Associate,Certification,Kesley,Scandrite,kesley.scandrite@outlook.com,,19/02/2019 05:12,Feb-19,1,6583260,1234567,Contoso Ltd,Reading,United Kingdom,19/08/2021 05:12,Active
3086,Azure AI Engineer Associate,Certification,Julietta,Trout,julietta.trout@outlook.com,,23/03/2019 12:08,Mar-19,1,834330,1234567,Contoso Ltd,Reading,United Kingdom,23/09/2021 12:08,Active
3085,Messaging Administrator Associate,Certification,Del,Fradson,del.fradson@outlook.com,,09/09/2019 04:13,Sep-19,1,1703900,1234567,Contoso Ltd,Reading,United Kingdom,09/09/2021 04:13,Active
